page_id,livre,split
10925942_0111_p111,,train
10925942_0112_p112,,train
10925942_0113_p113,,train
10925942_0114_p114,,train
10925942_0115_p115,,val
10925942_0116_p116,,train
10925942_0117_p117,,train
10925942_0118_p118,,train
10925942_0119_p119,,train
10925942_0120_p120,,val
10925942_0121_p121,,train
10925942_0122_p122,,train
10925942_0123_p123,,train
10925942_0124_p124,,train
10925942_0125_p125,,val
10925942_0126_p126,,train
10925942_0127_p127,,train
10925942_0128_p128,,train
10925942_0129_p129,,train
10925942_0130_p130,,train
10925942_0131_p131,,val
10925942_0132_p132,,train
10925942_0133_p133,,train
10925942_0134_p134,,train
10925942_0135_p135,,train
10925942_0136_p136,,train
10925942_0137_p137,,train
10925942_0138_p138,,train
10925942_0139_p139,,train
10925942_0140_p140,,train
10925942_0141_p141,,train
10925942_0142_p142,,train
10925942_0143_p143,,train
10925942_0144_p144,,train
10925942_0145_p145,,train
10925942_0146_p146,,train
10925942_0147_p147,,train
10925942_0148_p148,,train
10925942_0149_p149,,train
10925942_0150_p150,,train
10925942_0151_p151,,train
10925942_0152_p152,,train
10925942_0153_p153,,train
10925942_0154_p154,,train
10925942_0155_p155,,train
10925942_0156_p156,,train
10925942_0157_p157,,train
10925942_0158_p158,,train
10925942_0159_p159,,train
10925942_0160_p160,,train
10925942_0161_p161,,val
10925942_0162_p162,,val
10925942_0163_p163,,val
10925942_0164_p164,,val
10925942_0165_p165,,train
10925942_0166_p166,,val
10925942_0167_p167,,train
10925942_0168_p168,,train
10925942_0169_p169,,val
10925942_0170_p170,,train
10925942_0171_p171,,train
10925942_0172_p172,,train
10925942_0173_p173,,train
10925942_0174_p174,,train
10925942_0175_p175,,train
10925942_0176_p176,,train
10925942_0177_p177,,train
10925942_0178_p178,,train
10925942_0179_p179,,train
10925942_0180_p180,,train
10925942_0181_p181,,train
10925942_0182_p182,,train
10925942_0183_p183,,train
10925942_0184_p184,,train
10925942_0185_p185,,train
10925942_0186_p186,,train
10925942_0187_p187,,train
10925942_0188_p188,,train
10925942_0189_p189,,train
10925942_0190_p190,,train
10925942_0191_p191,,train
10925942_0192_p192,,train
10925942_0193_p193,,train
10925942_0194_p194,,train
10925942_0195_p195,,train
10925942_0196_p196,,train
10925942_0197_p197,,train
10925942_0198_p198,,train
10925942_0199_p199,,train
10925942_0200_p200,,train
10925942_0201_p201,,train
10925942_0202_p202,,train
10925942_0203_p203,,train
10925942_0204_p204,,train
10925942_0205_p205,,train
10925942_0206_p206,,train
10925942_0207_p207,,train
10925942_0208_p208,,train
10925942_0209_p209,,train
10925942_0210_p210,,train
10925942_0211_p211,,train
10925942_0212_p212,,train
10925942_0213_p213,,train
10925942_0214_p214,,train
10925942_0215_p215,,train
10925942_0216_p216,,train
10925942_0217_p217,,train
10925942_0218_p218,,val
10925942_0219_p219,,train
10925942_0220_p220,,train
10925942_0221_p221,,train
10925942_0222_p222,,train
10925942_0223_p223,,train
10925942_0224_p224,,train
10925942_0225_p225,,train
10925942_0226_p226,,train
10925942_0227_p227,,train
10925942_0228_p228,,val
10925942_0229_p229,,train
10925942_0230_p230,,train
10925942_0231_p231,,train
10925942_0232_p232,,train
10925942_0233_p233,,train
10925942_0234_p234,,train
10925942_0235_p235,,val
10925942_0236_p236,,train
10925942_0237_p237,,train
10925942_0238_p238,,train
10925942_0239_p239,,train
10925942_0240_p240,,train
10925942_0241_p241,,train
10925942_0242_p242,,train
10925942_0243_p243,,train
10925942_0244_p244,,train
10925942_0245_p245,,train
10925942_0246_p246,,val
10925942_0247_p247,,train
10925942_0248_p248,,train
10925942_0249_p249,,train
10925942_0250_p250,,train
10925942_0251_p251,,train
10925942_0252_p252,,train
10925942_0253_p253,,train
10925942_0254_p254,,train
10925942_0255_p255,,train
10925942_0256_p256,,train
10925942_0257_p257,,train
10925942_0258_p258,,train
10925942_0259_p259,,train
10925942_0260_p260,,train
10925942_0261_p261,,train
10925942_0262_p262,,train
10925942_0263_p263,,train
10925942_0264_p264,,train
10925942_0265_p265,,train
10925942_0266_p266,,train
10925942_0267_p267,,train
10925942_0268_p268,,train
10925942_0269_p269,,train
10925942_0270_p270,,train
10925942_0271_p271,,train
10925942_0272_p272,,val
10925942_0273_p273,,train
10925942_0274_p274,,train
10925942_0275_p275,,val
10925942_0276_p276,,val
10925942_0277_p277,,train
10925942_0278_p278,,train
10925942_0279_p279,,val
10925942_0280_p280,,train
10925942_0281_p281,,train
10925942_0282_p282,,train
10925942_0283_p283,,train
10925942_0284_p284,,val
10925942_0285_p285,,train
10925942_0286_p286,,train
10925942_0287_p287,,train
10925942_0288_p288,,train
10925942_0289_p289,,train
10925942_0290_p290,,train
10925942_0291_p291,,train
10925942_0292_p292,,train
10925942_0293_p293,,train
