piece,livre,chapter,confidence,raw
1,1,9,certain,"Livre 1, chap 9"
2,1,33,certain,"Livre 1, chap 33"
3,1,33,certain,"Livre 1, chap 33"
4,,,none,
5,1,33,certain,"Livre 1, chap 33"
6,1,38,certain,"Livre 1, chap 38"
7,1,38,certain,"Livre 1, chap 38"
8,1,38,certain,"Livre 1, chap 38"
9,1,43,certain,"Livre 1, chap 43"
10,2,1,certain,"Livre 2, chap 1"
11,2,2,certain,"Livre 2, chap 2"
12,2,4,certain,"Livre 2, chap 4"
13,,,none,
14,,,none,
15,2,6,certain,"Livre 2, chap 6"
16,2,6,certain,"Livre 2, chap 6"
17,2,6,uncertain,"Livre 2, chap 6 (?)"
18,2,7,certain,"Livre 2, chap 7"
19,2,8,certain,"Livre 2, chap 8"
20,2,8,certain,"Livre 2, chap 8"
21,2,8,certain,"Livre 2, chap 8"
22,2,10,certain,"Livre 2, chap 10"
23,2,10,certain,"Livre 2, chap 10"
24,2,10,certain,"Livre 2, chap 10"
25,2,,uncertain,"Livre 2, ?"
26,2,12,certain,"Livre 2, chap 12"
27,2,12,certain,"Livre 2, chap 12"
28,2,12,certain,"Livre 2, chap 12"
29,2,12,certain,"Livre 2, chap 12"
30,2,15,certain,"Livre 2, chap 15"
31,2,15,certain,"Livre 2, chap 15"
32,2,15,certain,"Livre 2, chap 15"
33,2,16,certain,"Livre 2, chap 16"
34,2,16,certain,"Livre 2, chap 16"
35,2,17,certain,"Livre 2, chap 17"
36,2,17,certain,"Livre 2, chap 17"
37,2,18,certain,"Livre 2, chap 18"
38,2,18,certain,"Livre 2, chap 18"
39,2,2,certain,"Livre 2, chap 2"
40,2,19,certain,"Livre 2, chap 19"
41,2,,uncertain,"Livre 2, ?"
42,2,,uncertain,"Livre 2, ?"
43,2,20,certain,"Livre 2, chap 20"
44,2,20,certain,"Livre 2, chap 20"
45,2,20,certain,"Livre 2, chap 20"
46,2,20,certain,"Livre 2, chap 20"
47,2,20,certain,"Livre 2, chap 20"
48,2,20,certain,"Livre 2, chap 20"
49,2,20,certain,"Livre 2, chap 20"
50,2,20,certain,"Livre 2, chap 20"
51,2,20,certain,"Livre 2, chap 20"
52,2,20,certain,"Livre 2, chap 20"
53,2,21,certain,"Livre 2, chap 21"
54,2,21,certain,"Livre 2, chap 21"
55,2,21,certain,"Livre 2, chap 21"
56,2,20,certain,"Livre 2, chap 20"
57,2,21,certain,"Livre 2, chap 21"
58,2,21,certain,"Livre 2, chap 21"
59,2,22,certain,"Livre 2, chap 22"
60,2,22,certain,"Livre 2, chap 22"
61,2,22,conjecture,"[Livre 2, chap 22]"
62,2,22,certain,"Livre 2, chap 22"
63,2,22,certain,"Livre 2, chap 22"
64,2,22,conjecture,"[Livre 2, chap 22]"
65,3,1,certain,"Livre 3, chap 1"
66,3,1,certain,"Livre 3, chap 1"
67,3,1,certain,"Livre 3, chap 1"
68,3,1,certain,"Livre 3, chap 1"
69,3,3,certain,"Livre 3, chap 3"
70,3,3,certain,"Livre 3, chap 3"
71,3,3,certain,"Livre 3, chap 3"
72,3,3,conjecture,"[Livre 3, chap 3 ?]"
73,3,3,conjecture,"[Livre 3, chap 3 ?]"
74,3,3,certain,"Livre 3, chap 3"
75,3,5,certain,"Livre 3, chap 5"
76,3,5,certain,"Livre 3, chap 5"
77,3,5,certain,"Livre 3, chap 5"
78,3,5,certain,"Livre 3, chap 5"
79,3,5,certain,"Livre 3, chap 5"
80,3,6,certain,"Livre 3, chap 6"
81,3,6,certain,"Livre 3, chap 6"
82,3,7,certain,"Livre 3, chap 7"
83,3,7,certain,"Livre 3, chap 7"
84,3,7,certain,"Livre 3, chap 7"
85,3,10,certain,"Livre 3, chap 10"
86,3,10,certain,"Livre 3, chap 10"
87,3,10,certain,"Livre 3, chap 10"
88,3,11,certain,"Livre 3, chap 11"
89,3,11,certain,"Livre 3, chap 11"
90,3,11,certain,"Livre 3, chap 11"
91,3,11,certain,"Livre 3, chap 11"
92,3,12,certain,"Livre 3, chap 12"
93,3,12,certain,"Livre 3, chap 12"
94,3,12,certain,"Livre 3, chap 12"
95,3,12,certain,"Livre 3, chap 12"
96,3,12,certain,"Livre 3, chap 12"
97,3,14,certain,"Livre 3, chap 14"
98,3,14,certain,"Livre 3, chap 14"
99,3,14,certain,"Livre 3, chap 14"
100,3,14,certain,"Livre 3, chap 14"
101,3,14,certain,"Livre 3, chap 14"
102,3,14,certain,"Livre 3, chap 14"
103,3,15,certain,"Livre 3, chap 15."
104,3,15,certain,"Livre 3, chap 15."
105,3,15,certain,"Livre 3, chap 15."
106,3,16,certain,"Livre 3, chap 16"
107,3,17,certain,"Livre 3, chap 17"
108,3,17,certain,"Livre 3, chap 17"
109,3,17,certain,"Livre 3, chap 17"
110,3,17,certain,"Livre 3, chap 17"
111,3,17,certain,"Livre 3, chap 17"
112,3,17,certain,"Livre 3, chap 17"
113,3,18,certain,"Livre 3, chap 18"
114,3,18,certain,"Livre 3, chap 18"
115,3,18,certain,"Livre 3, chap 18"
116,3,18,certain,"Livre 3, chap 18"
117,4,1,certain,"Livre 4, chap 1"
118,4,1,certain,"Livre 4, chap 1"
119,4,1,certain,"Livre 4, chap 1"
120,4,1,certain,"Livre 4, chap 1"
121,4,3,certain,"Livre 4, chap 3"
122,4,3,certain,"Livre 4, chap 3"
123,4,3,certain,"Livre 4, chap 3"
124,4,3,certain,"Livre 4, chap 3"
125,4,4,certain,"Livre 4, chap 4"
126,4,4,certain,"Livre 4, chap 4"
127,4,4,certain,"Livre 4, chap 4"
128,4,4,certain,"Livre 4, chap 4"
129,4,4,certain,"Livre 4, chap 4"
130,4,4,certain,"Livre 4, chap 4"
131,4,5,certain,"Livre 4, chap 5"
132,4,5,certain,"Livre 4, chap 5"
133,4,6,certain,"Livre 4, chap 6"
134,4,6,certain,"Livre 4, chap 6"
135,4,7,certain,"Livre 4, chap 7"
136,4,7,certain,"Livre 4, chap 7"
137,4,7,certain,"Livre 4, chap 7"
138,4,7,certain,"Livre 4, chap 7"
139,4,7,certain,"Livre 4, chap 7"
140,4,8,certain,"Livre 4, chap 8"
141,4,8,certain,"Livre 4, chap 8"
142,4,9,certain,"Livre 4, chap 9"
143,4,10,certain,"Livre 4, chap 10"
144,4,17,certain,"Livre 4, chap 17"
145,4,19,certain,"Livre 4, chap 19"
146,4,19,certain,"Livre 4, chap 19"
147,4,19,certain,"Livre 4, chap 19"
148,4,19,certain,"Livre 4, chap 19"
149,4,19,certain,"Livre 4, chap 19"
150,4,19,certain,"Livre 4, chap 19"
151,4,19,certain,"Livre 4, chap 19"
152,4,19,certain,"Livre 4, chap 19"
153,4,20,certain,"Livre 4, chap 20"
154,4,20,certain,"Livre 4, chap 20"
155,4,20,certain,"Livre 4, chap 20"
156,4,23,certain,"Livre 4, chap 23"
157,4,23,certain,"Livre 4, chap 23"
158,4,23,certain,"Livre 4, chap 23"
159,4,23,certain,"Livre 4, chap 23"
160,4,23,certain,"Livre 4, chap 23"
161,4,23,certain,"Livre 4, chap 23"
162,4,23,certain,"Livre 4, chap 23"
163,4,25,certain,"Livre 4, chap 25"
164,4,27,certain,"Livre 4, chap 27"
165,4,29,certain,"Livre 4, chap 29"
166,4,34,certain,"Livre 4, chap 34"
167,4,34,certain,"Livre 4, chap 34"
168,4,37,certain,"Livre 4, chap 37"
169,4,38,certain,"Livre 4, chap 38"
170,4,38,certain,"Livre 4, chap 38"
171,4,38,certain,"Livre 4, chap 38"
172,4,38,certain,"Livre 4, chap 38"
173,5,5,certain,"Livre 5, chap 5"
174,5,26,certain,"Livre 5, chap 26"
175,5,28,certain,"Livre 5, chap 28"
176,5,33,certain,"Livre 5, chap 33"
177,5,45,certain,"Livre 5, chap 45"
178,5,47,certain,"Livre 5, chap 47."
179,5,48,certain,"Livre 5, chap 48."
180,5,48,certain,"Livre 5, chap 48."
181,5,52,certain,"Livre 5, chap 52"
182,5,54,certain,"Livre 5, chap 54"
183,6,6,certain,"Livre 6, chap 6"
184,6,6,certain,"Livre 6, chap 6"
185,6,12,certain,"Livre 6, chap 12"
186,6,12,certain,"Livre 6, chap 12"
187,,,none,
188,,,none,
189,,,none,
190,6,22,certain,"Livre 6, chap 22"
191,6,22,certain,"Livre 6, chap 22"
192,6,22,certain,"Livre 6, chap 22"
193,6,23,certain,"Livre 6, chap 23"
194,,,none,
195,,,none,
196,6,30,certain,"Livre 6, chap 30"
197,6,51,certain,"Livre 6, chap 51"
198,,,none,
199,7,19,certain,"Livre 7, chap 19"
200,7,29,certain,"Livre 7, chap 29"
201,7,46,certain,"Livre 7, chap 46"
202,7,46,certain,"Livre 7, chap 46"
203,7,46,certain,"Livre 7, chap 46"
204,7,,uncertain,"Livre 7, chap ??"
205,7,54,certain,"Livre 7, chap 54"
206,7,54,certain,"Livre 7, chap 54"
207,7,91,certain,"Livre 7, chap 91"
208,8,2,certain,"Livre 8, chap 2"
209,8,2,certain,"Livre 8, chap 2"
210,8,7,certain,"Livre 8, chap 7"
211,8,7,certain,"Livre 8, chap 7"
212,8,29,uncertain,"Livre 8, chap 29 (??)"
213,8,9,uncertain,"Livre 8, chap 9 (??)"
214,8,11,certain,"Livre 8, chap 11"
215,8,11,certain,"Livre 8, chap 11"
216,8,15,certain,"Livre 8, chap 15"
217,8,16,certain,"Livre 8, chap 16"
218,8,18,certain,"Livre 8, chap 18"
219,8,18,certain,"Livre 8, chap 18"
220,8,18,certain,"Livre 8, chap 18"
221,8,21,certain,"Livre 8, chap 21"
222,18,,uncertain,"Livre 18, chap ??"
223,18,22,certain,"Livre 18, chap 22"
224,18,26,certain,"Livre 18, chap 26"
225,8,31,certain,"Livre 8, chap 31"
226,8,31,certain,"Livre 8, chap 31"
227,8,31,certain,"Livre 8, chap 31"
228,8,34,certain,"Livre 8, chap 34"
229,8,35,certain,"Livre 8, chap 35"
230,8,36,certain,"Livre 8, chap 36"
231,8,36,certain,"Livre 8, chap 36"
232,8,40,certain,"Livre 8, chap 40"
233,8,43,certain,"Livre 8, chap 43"
234,8,48,certain,"Livre 8, chap 48"
235,8,48,certain,"Livre 8, chap 48"
236,8,49,certain,"Livre 8, chap 49"
237,8,49,certain,"Livre 8, chap 49"
238,8,49,certain,"Livre 8, chap 49"
239,8,52,certain,"Livre 8, chap 52"
240,8,52,certain,"Livre 8, chap 52"
241,8,53,certain,"Livre 8, chap 53"
242,8,53,certain,"Livre 8, chap 53"
243,8,55,certain,"Livre 8, chap 55"
244,8,57,certain,"Livre 8, chap 57"
245,8,61,certain,"Livre 8, chap 61"
246,8,65,certain,"Livre 8, chap 65"
247,8,74,certain,"Livre 8, chap 74"
248,8,73,certain,"Livre 8, chap 73"
249,8,,uncertain,"Livre 8, chap ???"
250,8,76,certain,"Livre 8, chap 76"
251,8,76,certain,"Livre 8, chap 76"
252,8,78,certain,"Livre 8, chap 78"
253,8,78,certain,"Livre 8, chap 78"
254,8,80,certain,"Livre 8, chap 80"
255,8,84,certain,"Livre 8, chap 84"
256,8,84,certain,"Livre 8, chap 84"
257,8,90,certain,"Livre 8, chap 90"
258,8,,certain,Livre 8
259,8,93,certain,"Livre 8, chap 93"
260,9,6,certain,"Livre 9, chap 6"
261,9,6,certain,"Livre 9, chap 6"
262,9,10,certain,"Livre 9, chap 10"
263,9,14,certain,"Livre 9, chap 14"
264,9,14,certain,"Livre 9, chap 14"
265,9,33,certain,"Livre 9, chap 33"
266,9,34,certain,"Livre 9, chap 34"
267,9,35,certain,"Livre 9, chap 35"
268,9,38,certain,"Livre 9, chap 38"
269,9,41,certain,"Livre 9, chap 41"
270,9,50,certain,"Livre 9, chap 50"
271,9,50,certain,"Livre 9, chap 50"
272,9,53,certain,"Livre 9, chap 53"
273,9,53,certain,"Livre 9, chap 53"
274,9,53,certain,"Livre 9, chap 53"
275,9,56,certain,"Livre 9, chap 56"
276,9,56,certain,"Livre 9, chap 56 (ou 57 selon Plantin)"
277,9,58,certain,"Livre 9, chap 58"
278,9,78,uncertain,"Livre 9, chap 78 (??) Ou 64 selon Plantin"
279,9,56,certain,"Livre 9, chap 56 (Plantin dit 65)"
280,9,70,certain,"Livre 9, chap 70, dit Plantin"
281,9,72,certain,"Livre 9, chap 72"
282,9,72,certain,"Livre 9, chap 72"
283,10,4,certain,"Livre 10, chap 4"
284,10,5,certain,"Livre 10, chap 5"
285,10,5,certain,"Livre 10, chap 5"
286,10,5,certain,"Livre 10, chap 5"
287,10,6,certain,"Livre 10, chap 6"
288,10,6,certain,"Livre 10, chap 6"
289,10,6,certain,"Livre 10, chap 6"
290,10,6,certain,"Livre 10, chap 6"
291,10,6,certain,"Livre 10, chap 6"
292,10,6,certain,"Livre 10, chap 6"
293,10,18,certain,"Livre 10, chap 18"
294,10,18,certain,"Livre 10, chap 18"
295,10,18,certain,"Livre 10, chap 18"
296,,,none,
297,10,20,certain,"Livre 10, chap 20"
298,10,22,certain,"Livre 10, chap 22"
299,10,22,certain,"Livre 10, chap 22"
300,10,24,certain,"Livre 10, chap 24"
301,10,24,certain,"Livre 10, chap 24"
302,10,25,certain,"Livre 10, chap 25"
303,10,38,certain,"Livre 10, chap 38"
304,10,38,certain,"Livre 10, chap 38"
305,10,30,certain,"Livre 10, chap 30"
306,10,30,certain,"Livre 10, chap 30"
307,10,31,certain,"Livre 10, chap 31"
308,10,32,certain,"Livre 10, chap 32"
309,10,37,certain,"Livre 10, chap 37"
310,10,41,certain,"Livre 10, chap 41"
311,10,41,certain,"Livre 10, chap 41"
312,10,44,certain,"Livre 10, chap 44"
313,10,44,certain,"Livre 10, chap 44"
314,10,54,certain,"Livre 10, chap 54"
315,10,56,certain,"Livre 10, chap 56"
316,10,58,certain,"Livre 10, chap 58"
317,10,58,certain,"Livre 10, chap 58"
318,10,58,certain,"Livre 10, chap 58"
319,10,72,certain,"Livre 10, chap 72"
320,10,65,certain,"Livre 10, chap 65"
321,10,65,certain,"Livre 10, chap 65"
322,11,1,certain,"Livre 11, chap 1"
323,11,1,certain,"Livre 11, chap 1"
324,11,5,certain,"Livre 11, chap 5"
325,11,5,certain,"Livre 11, chap 5"
326,11,14,certain,"Livre 11, chap 14"
327,11,24,certain,"Livre 11, chap 24"
328,11,89,certain,"Livre 11, chap 89"
329,12,1,certain,"Livre 12, chap 1"
330,12,1,certain,"Livre 12, chap 1"
331,12,6,certain,"Livre 12, chap 6"
332,12,6,certain,"Livre 12, chap 6"
333,12,7,certain,"Livre 12, chap 7"
334,12,8,certain,"Livre 12, chap 8"
