xlsx_piece,docx_piece,offset,title_similarity
1,1,0,0.951
2,2,0,0.952
3,3,0,0.974
4,4,0,0.994
5,5,0,0.965
6,6,0,0.977
7,7,0,0.948
8,8,0,0.954
9,9,0,0.959
10,10,0,0.978
11,11,0,1.000
12,12,0,0.987
13,13,0,1.000
14,14,0,0.975
15,15,0,0.991
16,16,0,1.000
17,17,0,0.988
18,18,0,0.988
19,19,0,0.986
20,20,0,1.000
21,21,0,1.000
22,22,0,1.000
23,23,0,0.991
24,24,0,0.955
25,25,0,0.979
26,26,0,0.986
27,27,0,0.977
28,28,0,0.946
29,29,0,0.974
30,30,0,0.973
31,31,0,0.972
32,32,0,0.942
33,33,0,0.974
34,34,0,0.961
35,35,0,0.980
36,36,0,0.955
37,37,0,0.963
38,38,0,0.974
39,40,1,0.976
40,41,1,0.973
41,42,1,0.952
42,43,1,1.000
43,44,1,0.926
44,45,1,0.500
45,46,1,0.979
46,47,1,0.935
47,48,1,0.957
48,49,1,0.931
49,50,1,0.957
50,51,1,1.000
51,52,1,0.978
52,53,1,0.958
53,54,1,0.970
54,55,1,0.935
55,56,1,0.961
56,57,1,0.976
57,58,1,0.892
58,59,1,0.965
59,60,1,1.000
60,61,1,0.982
61,62,1,0.891
62,63,1,0.953
63,64,1,0.956
64,65,1,0.878
65,66,1,0.952
66,67,1,0.846
67,68,1,0.643
68,70,2,0.545
69,71,2,0.926
70,72,2,0.982
71,73,2,0.977
72,74,2,0.950
73,75,2,0.953
74,76,2,0.992
75,77,2,1.000
76,78,2,0.974
77,79,2,1.000
78,80,2,0.943
79,81,2,0.949
80,82,2,0.837
81,83,2,0.981
82,84,2,0.979
83,86,3,0.959
84,87,3,0.946
85,88,3,0.990
86,89,3,0.986
87,90,3,0.974
88,91,3,0.991
89,92,3,0.941
90,93,3,0.976
91,94,3,1.000
92,95,3,1.000
93,96,3,0.961
94,97,3,0.987
95,98,3,1.000
96,99,3,1.000
97,100,3,1.000
98,101,3,1.000
99,102,3,1.000
100,103,3,1.000
101,104,3,1.000
102,105,3,1.000
103,106,3,1.000
104,107,3,1.000
105,108,3,1.000
106,109,3,1.000
107,110,3,1.000
108,111,3,1.000
109,112,3,1.000
110,113,3,1.000
111,114,3,1.000
112,115,3,1.000
113,116,3,1.000
114,117,3,1.000
115,118,3,1.000
116,119,3,1.000
117,120,3,1.000
118,121,3,1.000
119,122,3,1.000
120,123,3,1.000
121,124,3,0.830
122,125,3,1.000
123,126,3,1.000
124,127,3,1.000
125,128,3,1.000
126,129,3,1.000
127,130,3,1.000
128,131,3,1.000
129,132,3,1.000
130,133,3,1.000
131,134,3,1.000
132,135,3,1.000
133,136,3,0.941
134,137,3,1.000
135,138,3,0.745
136,139,3,1.000
137,140,3,1.000
138,141,3,1.000
139,142,3,1.000
140,143,3,1.000
141,144,3,1.000
142,145,3,1.000
143,146,3,1.000
144,147,3,0.853
145,148,3,1.000
146,149,3,1.000
147,150,3,1.000
148,151,3,1.000
149,152,3,1.000
150,153,3,1.000
151,154,3,1.000
152,155,3,1.000
153,156,3,1.000
154,157,3,1.000
155,158,3,1.000
156,159,3,1.000
157,160,3,1.000
158,161,3,1.000
159,162,3,1.000
160,163,3,1.000
161,164,3,0.893
162,165,3,0.868
163,166,3,1.000
164,167,3,1.000
165,168,3,1.000
166,169,3,1.000
167,170,3,1.000
168,171,3,1.000
169,172,3,1.000
170,173,3,1.000
171,174,3,1.000
172,175,3,1.000
173,176,3,1.000
174,177,3,1.000
175,178,3,1.000
176,179,3,0.875
177,180,3,1.000
178,181,3,1.000
179,182,3,1.000
180,183,3,1.000
181,184,3,1.000
