page_id,livre,folio,family,provenance,stratum
book-01-p0046,1,46,A,,A
book-01-p0059,1,59,A,,A
book-01-p0110,1,110,A,,A
book-01-p0117,1,117,A,,A
book-01-p0122,1,122,A,,A
book-01-p0165,1,165,A,,A
book-01-p0186,1,186,A,,A
book-01-p0250,1,250,A,,A
book-01-p0281,1,281,A,,A
book-01-p0285,1,285,A,,A
book-01-p0302,1,302,A,,A
book-02-p0005,2,5,A,,A
book-02-p0028,2,28,A,,A
book-02-p0033,2,33,A,,A
book-02-p0073,2,73,A,,A
book-02-p0098,2,98,A,,A
book-02-p0108,2,108,A,,A
book-02-p0134,2,134,A,,A
book-02-p0138,2,138,A,,A
book-02-p0148,2,148,A,,A
book-03-p0023,3,23,A,,A
book-03-p0061,3,61,A,,A
book-03-p0070,3,70,A,,A
book-03-p0071,3,71,A,,A
book-03-p0074,3,74,A,,A
book-03-p0081,3,81,A,,A
book-03-p0082,3,82,A,,A
book-03-p0084,3,84,A,,A
book-03-p0088,3,88,A,,A
book-03-p0101,3,101,A,,A
book-03-p0123,3,123,A,,A
book-03-p0147,3,147,A,,A
book-03-p0158,3,158,A,,A
book-04-p0044,4,44,A,,A
book-04-p0082,4,82,A,,A
book-04-p0089,4,89,A,,A
book-04-p0106,4,106,A,,A
book-04-p0115,4,115,A,,A
book-04-p0124,4,124,A,,A
book-04-p0189,4,189,A,,A
book-04-p0199,4,199,A,,A
book-04-p0232,4,232,A,,A
book-04-p0239,4,239,A,,A
book-04-p0240,4,240,A,,A
book-05-p0007,5,7,A,,A
book-05-p0022,5,22,A,,A
book-05-p0023,5,23,A,,A
book-05-p0024,5,24,A,,A
book-05-p0040,5,40,A,,A
book-05-p0081,5,81,A,,A
book-05-p0082,5,82,A,,A
book-05-p0115,5,115,A,,A
book-05-p0116,5,116,A,,A
book-05-p0120,5,120,A,,A
book-05-p0141,5,141,A,,A
book-05-p0154,5,154,A,,A
book-05-p0165,5,165,A,,A
book-05-p0176,5,176,A,,A
book-05-p0179,5,179,A,,A
book-05-p0227,5,227,A,,A
book-05-p0229,5,229,A,,A
book-05-p0231,5,231,A,,A
book-05-p0232,5,232,A,,A
book-05-p0244,5,244,A,,A
book-06-p0010,6,10,A,,A
book-06-p0030,6,30,A,,A
book-06-p0048,6,48,A,,A
book-06-p0058,6,58,A,,A
book-06-p0062,6,62,A,,A
book-06-p0071,6,71,A,,A
book-06-p0075,6,75,A,,A
book-06-p0090,6,90,A,,A
book-06-p0095,6,95,A,,A
book-06-p0142,6,142,A,,A
book-06-p0179,6,179,A,,A
book-06-p0187,6,187,A,,A
book-06-p0201,6,201,A,,A
book-06-p0209,6,209,A,,A
book-06-p0250,6,250,A,,A
book-06-p0263,6,263,A,,A
book-07-p0005,7,5,A,,A
book-07-p0019,7,19,A,,A
book-07-p0021,7,21,A,,A
book-07-p0030,7,30,A,,A
book-07-p0038,7,38,A,,A
book-07-p0067,7,67,A,,A
book-07-p0104,7,104,A,,A
book-07-p0156,7,156,A,,A
book-07-p0166,7,166,A,,A
book-07-p0191,7,191,A,,A
book-07-p0197,7,197,A,,A
book-07-p0234,7,234,A,,A
book-07-p0236,7,236,A,,A
book-07-p0245,7,245,A,,A
book-07-p0259,7,259,A,,A
book-08-p0019,8,19,A,,A
book-08-p0029,8,29,A,,A
book-08-p0036,8,36,A,,A
book-08-p0084,8,84,A,,A
book-08-p0088,8,88,A,,A
book-08-p0126,8,126,A,,A
book-08-p0151,8,151,A,,A
book-08-p0180,8,180,A,,A
book-08-p0185,8,185,A,,A
book-08-p0208,8,208,A,,A
book-08-p0216,8,216,A,,A
book-08-p0223,8,223,A,,A
book-08-p0237,8,237,A,,A
book-08-p0238,8,238,A,,A
book-08-p0246,8,246,A,,A
book-08-p0289,8,289,A,,A
book-08-p0310,8,310,A,,A
book-08-p0317,8,317,A,,A
book-08-p0336,8,336,A,,A
book-08-p0349,8,349,A,,A
book-08-p0355,8,355,A,,A
book-08-p0382,8,382,A,,A
book-09-p0001,9,1,A,,A
book-09-p0018,9,18,A,,A
book-09-p0033,9,33,A,,A
book-09-p0068,9,68,A,,A
book-09-p0161,9,161,A,,A
book-09-p0164,9,164,A,,A
book-09-p0182,9,182,A,,A
book-09-p0200,9,200,A,,A
book-09-p0217,9,217,A,,A
book-09-p0233,9,233,A,,A
book-09-p0280,9,280,A,,A
book-09-p0283,9,283,A,,A
book-09-p0302,9,302,A,,A
book-09-p0309,9,309,A,,A
book-09-p0322,9,322,A,,A
book-09-p0332,9,332,A,,A
book-09-p0333,9,333,A,,A
book-09-p0369,9,369,A,,A
book-09-p0382,9,382,A,,A
book-10-p0012,10,12,A,,A
book-10-p0022,10,22,A,,A
book-10-p0028,10,28,A,,A
book-10-p0032,10,32,A,,A
book-10-p0033,10,33,A,,A
book-10-p0062,10,62,A,,A
book-10-p0099,10,99,A,,A
book-10-p0104,10,104,A,,A
book-10-p0110,10,110,A,,A
book-10-p0130,10,130,A,,A
book-10-p0134,10,134,A,,A
book-10-p0151,10,151,A,,A
book-10-p0178,10,178,A,,A
book-10-p0181,10,181,A,,A
book-10-p0196,10,196,A,,A
book-10-p0200,10,200,A,,A
book-10-p0205,10,205,A,,A
book-10-p0243,10,243,A,,A
book-10-p0272,10,272,A,,A
book-11-p0001,11,1,A,,A
book-11-p0005,11,5,A,,A
book-11-p0049,11,49,A,,A
book-11-p0073,11,73,A,,A
book-11-p0099,11,99,A,,A
book-11-p0121,11,121,A,,A
book-11-p0125,11,125,A,,A
book-11-p0153,11,153,A,,A
book-11-p0169,11,169,A,,A
book-11-p0170,11,170,A,,A
book-11-p0175,11,175,A,,A
book-11-p0189,11,189,A,,A
book-11-p0198,11,198,A,,A
book-11-p0201,11,201,A,,A
book-11-p0206,11,206,A,,A
book-11-p0217,11,217,A,,A
book-11-p0219,11,219,A,,A
book-11-p0237,11,237,A,,A
book-11-p0249,11,249,A,,A
book-11-p0282,11,282,A,,A
book-11-p0285,11,285,A,,A
book-11-p0291,11,291,A,,A
book-11-p0308,11,308,A,,A
book-11-p0324,11,324,A,,A
book-12-p0014,12,14,A,,A
book-12-p0046,12,46,A,,A
book-12-p0072,12,72,A,,A
book-12-p0085,12,85,A,,A
book-12-p0168,12,168,A,,A
book-12-p0213,12,213,A,,A
book-12-p0223,12,223,A,,A
book-12-p0225,12,225,A,,A
book-12-p0242,12,242,A,,A
book-12-p0255,12,255,A,,A
book-12-p0256,12,256,A,,A
book-12-p0266,12,266,A,,A
book-12-p0304,12,304,A,,A
book-12-p0363,12,363,A,,A
book-12-p0370,12,370,A,,A
book-12-p0372,12,372,A,,A
book-12-p0376,12,376,A,,A
book-12-p0407,12,407,A,,A
book-12-p0421,12,421,A,,A
book-12-p0424,12,424,A,,A
book-12-p0478,12,478,A,,A
book-13-p0036,13,36,B,,B
book-13-p0111,13,111,B,,B
book-13-p0120,13,120,B,,B
book-13-p0230,13,230,B,,B
book-13-p0238,13,238,B,,B
book-13-p0432,13,432,B,,B
book-13-p0637,13,637,B,,B
book-13-p0649,13,649,B,,B
book-13-p0662,13,662,B,,B
book-13-p0668,13,668,B,,B
book-13-p0712,13,712,B,,B
book-13-p0727,13,727,B,,B
book-13-p0732,13,732,B,,B
book-14-p0031,14,31,B,,B
book-14-p0172,14,172,B,,B
book-14-p0195,14,195,B,,B
book-14-p0299,14,299,B,,B
book-14-p0421,14,421,B,,B
book-14-p0424,14,424,B,,B
book-14-p0426,14,426,B,,B
book-14-p0437,14,437,B,,B
book-14-p0515,14,515,B,,B
book-14-p0531,14,531,B,,B
book-14-p0541,14,541,B,,B
book-14-p0551,14,551,B,,B
book-14-p0554,14,554,B,,B
book-14-p0559,14,559,B,,B
book-14-p0568,14,568,B,,B
book-14-p0621,14,621,B,,B
book-14-p0669,14,669,B,,B
book-15-p0332,15,332,B,,B
book-15-p0366,15,366,B,,B
book-15-p0560,15,560,B,,B
book-15-p0563,15,563,B,,B
book-15-p0575,15,575,B,,B
book-16-p0022,16,22,B,,B
book-16-p0028,16,28,B,,B
book-16-p0078,16,78,B,,B
book-16-p0105,16,105,B,,B
book-16-p0187,16,187,B,,B
book-16-p0212,16,212,B,,B
book-16-p0267,16,267,B,,B
book-16-p0334,16,334,B,,B
book-16-p0358,16,358,B,,B
book-16-p0390,16,390,B,,B
book-16-p0471,16,471,B,,B
book-16-p0547,16,547,B,,B
book-17-p0017,17,17,B,,B
book-17-p0028,17,28,B,,B
book-17-p0059,17,59,B,,B
book-17-p0177,17,177,B,,B
book-17-p0215,17,215,B,,B
book-17-p0229,17,229,B,,B
book-17-p0305,17,305,B,,B
book-17-p0361,17,361,B,,B
book-17-p0462,17,462,B,,B
book-17-p0505,17,505,B,,B
book-17-p0520,17,520,B,,B
book-17-p0563,17,563,B,,B
book-17-p0592,17,592,B,,B
book-17-p0605,17,605,B,,B
book-17-p0627,17,627,B,,B
