piece,cohort,passage_id,livre,chapter,start,end,score
1,catalogue,cmu6rke3v0000rs7gb11v5l75,1,9,157621,158065,0.887097
2,catalogue,cmu6rke4w0001rs7g7dcg7eby,1,33,622356,623398,0.962963
3,catalogue,cmu6rke5q0002rs7glj097cxv,1,33,624431,626231,0.935484
4,catalogue,cmu6rke6m0003rs7gztxqey7k,1,33,626741,628709,0.923858
5,catalogue,cmu6rke7f0004rs7g409q8a0k,1,33,629155,631806,0.907631
6,catalogue,cmu6rke8a0005rs7gd37vnofy,1,33,633805,634647,0.948454
7,catalogue,cmu6rke950006rs7gb1ritrxq,1,,732131,734046,0.924324
8,catalogue,cmu6rkea10007rs7gqgwa207h,1,,735798,736286,0.948052
9,catalogue,cmu6rkeav0008rs7gjbfvn6pw,1,,820577,821060,0.942857
10,catalogue,cmu6rkebm0009rs7gdav68xus,2,,2027,2500,0.984127
11,catalogue,cmu6rkece000ars7gh70zrt97,2,,36696,38578,0.900524
12,catalogue,cmu6rked7000brs7ginla3pqj,2,4,53622,55866,0.933036
13,catalogue,cmu6rkedz000crs7gf6k38spv,2,4,57055,57437,0.923077
14,catalogue,cmu6rkeer000drs7gbthpdurq,2,4,57507,57901,0.981132
15,catalogue,cmu6rkefj000ers7gwoslyppm,2,,82033,82833,0.945055
16,catalogue,cmu6rkegb000frs7gicl6xrz6,2,,90606,91060,0.913793
17,catalogue,cmu6rkeh6000grs7gfi4q46zh,2,,92556,93567,0.982906
18,catalogue,cmu6rkehz000hrs7gcyoukbpu,2,,113282,113752,0.887097
19,catalogue,cmu6rkeiq000irs7g99ub5i6y,2,8,131977,133126,0.868217
20,catalogue,cmu6rkekk000jrs7g0yyk6dca,2,8,134086,134995,0.954545
21,catalogue,cmu6rkelc000krs7g0z60ymps,2,8,135326,135762,0.953125
22,catalogue,cmu6rkem6000lrs7gfzw182y1,2,10,168095,168491,0.894737
23,catalogue,cmu6rkemy000mrs7gqp7h05bb,2,10,168558,170686,0.926829
24,catalogue,cmu6rkens000nrs7gxd0i82jb,2,10,173455,175035,0.890805
25,catalogue,cmu6rkeok000ors7gat6zpqv0,2,11,178098,178953,0.927083
26,catalogue,cmu6rkepc000prs7gxwts1032,2,,209888,210892,0.913793
27,catalogue,cmu6rkeq3000qrs7guwno92ec,2,,211029,211752,0.942529
28,catalogue,cmu6rkeqw000rrs7gw0z71e8l,2,,213443,214500,0.898148
29,catalogue,cmu6rkerp000srs7gf1sglwkn,2,,214502,215056,0.959459
30,catalogue,cmu6rkesh000trs7gx1umpchf,2,15,311886,312735,0.923077
31,catalogue,cmu6rket9000urs7ge6e08rn9,2,15,315431,315929,0.969697
32,catalogue,cmu6rketz000vrs7g9z4b00hc,2,15,320000,321105,0.887931
33,catalogue,cmu6rkeut000wrs7gz2lj1asp,2,,328070,329799,0.932203
34,catalogue,cmu6rkevm000xrs7gu29mlxp7,2,,329995,331519,0.906250
35,catalogue,cmu6rkewg000yrs7gv8ox0g18,2,,366405,369594,0.887681
36,catalogue,cmu6rkexh000zrs7gb665gu2w,2,,369780,371069,0.962963
37,catalogue,cmu6rkey80010rs7go6i7dqb9,2,18,394283,394952,0.931034
38,catalogue,cmu6rkez00011rs7ghxu2nss6,2,18,386194,386771,0.925000
39,catalogue,cmu6rkf0m0013rs7gr8w7547p,2,18,400794,401466,0.912500
40,catalogue,cmu6rkf1d0014rs7g2ubhit9q,2,19,420310,421090,0.969072
41,catalogue,cmu6rkf260015rs7gxl8lx73d,2,19,425732,426270,0.859155
42,catalogue,cmu6rkf2y0016rs7gyb5t8yqe,2,19,426272,426834,0.945946
43,catalogue,cmu6rkf3r0017rs7gmaouaxnl,2,20,450555,453068,0.892116
45,catalogue,cmu6rkf4k0018rs7g82vjutw5,2,20,453070,453390,0.869565
