piece,passage_id,cohort,method,title_similarity
1,cmu6rke3v0000rs7gb11v5l75,catalogue,title,0.9571
2,cmu6rke4w0001rs7g7dcg7eby,catalogue,title,0.9429
3,cmu6rke5q0002rs7glj097cxv,catalogue,title,0.9711
4,cmu6rke6m0003rs7gztxqey7k,catalogue,title,0.9935
5,cmu6rke7f0004rs7g409q8a0k,catalogue,title,0.9419
6,cmu6rke8a0005rs7gd37vnofy,catalogue,title,0.977
7,cmu6rke950006rs7gb1ritrxq,catalogue,title,0.9545
8,cmu6rkea10007rs7gqgwa207h,catalogue,title,0.9369
9,cmu6rkeav0008rs7gjbfvn6pw,catalogue,title,0.9261
10,cmu6rkebm0009rs7gdav68xus,catalogue,title,0.978
11,cmu6rkece000ars7gh70zrt97,catalogue,title,0.992
12,cmu6rked7000brs7ginla3pqj,catalogue,title,0.9808
13,cmu6rkedz000crs7gf6k38spv,catalogue,title,0.9308
14,cmu6rkeer000drs7gbthpdurq,catalogue,title,0.907
15,cmu6rkefj000ers7gwoslyppm,catalogue,title,0.978
16,cmu6rkegb000frs7gicl6xrz6,catalogue,title,0.9907
17,cmu6rkeh6000grs7gfi4q46zh,catalogue,title,0.9827
18,cmu6rkehz000hrs7gcyoukbpu,catalogue,title,0.9634
19,cmu6rkeiq000irs7g99ub5i6y,catalogue,title,0.9784
20,cmu6rkekk000jrs7g0yyk6dca,catalogue,title,0.9922
21,cmu6rkelc000krs7g0z60ymps,catalogue,title,0.9946
22,cmu6rkem6000lrs7gfzw182y1,catalogue,title,1.0
23,cmu6rkemy000mrs7gqp7h05bb,catalogue,title,0.986
24,cmu6rkens000nrs7gxd0i82jb,catalogue,title,0.9602
25,cmu6rkeok000ors7gat6zpqv0,catalogue,title,0.9792
26,cmu6rkepc000prs7gxwts1032,catalogue,title,0.9793
27,cmu6rkeq3000qrs7guwno92ec,catalogue,title,0.9556
28,cmu6rkeqw000rrs7gw0z71e8l,catalogue,title,0.9417
29,cmu6rkerp000srs7gf1sglwkn,catalogue,title,0.9554
30,cmu6rkesh000trs7gx1umpchf,catalogue,title,0.966
31,cmu6rket9000urs7ge6e08rn9,catalogue,title,0.9722
32,cmu6rketz000vrs7g9z4b00hc,catalogue,title,0.9461
33,cmu6rkeut000wrs7gz2lj1asp,catalogue,title,0.9615
34,cmu6rkevm000xrs7gu29mlxp7,catalogue,title,0.9427
35,cmu6rkewg000yrs7gv8ox0g18,catalogue,title,0.8991
36,cmu6rkexh000zrs7gb665gu2w,catalogue,title,0.9481
37,cmu6rkey80010rs7go6i7dqb9,catalogue,title,0.9455
38,cmu6rkez00011rs7ghxu2nss6,catalogue,title,0.9682
39,cmu6rkf0m0013rs7gr8w7547p,catalogue,title,0.9591
40,cmu6rkf1d0014rs7g2ubhit9q,catalogue,title,0.9244
41,cmu6rkf260015rs7gxl8lx73d,catalogue,title,0.944
42,cmu6rkf2y0016rs7gyb5t8yqe,catalogue,title,1.0
43,cmu6rkf3r0017rs7gmaouaxnl,catalogue,title,0.9328
45,cmu6rkf4k0018rs7g82vjutw5,catalogue,title,0.9684
46,cmu6rkf5d0019rs7g55wp48wk,catalogue,title,0.9103
47,cmu6rkf67001ars7g5rbkdwte,catalogue,title,0.9571
48,cmu6rkf6z001brs7g9dirl50y,catalogue,title,0.94
49,cmu6rkf7s001crs7ga3g3p902,catalogue,title,0.9474
50,cmu6rkf8l001drs7gafoqtl44,catalogue,title,1.0
51,cmu6rkf9c001ers7gzdv9gwcv,catalogue,title,0.9579
52,cmu6rkfa6001frs7g4mck6pzy,catalogue,title,0.9534
53,cmu6rkfb1001grs7g3v6wucru,catalogue,title,0.9701
54,cmu6rkfbt001hrs7gha5nsf1k,catalogue,title,0.9355
55,cmu6rkfcm001irs7g5j792zvq,catalogue,title,0.961
56,cmu6rkfdc001jrs7gmc9p6tss,catalogue,title,0.9639
57,cmu6rkfe3001krs7gt4hoe51m,catalogue,title,0.8585
58,cmu6rkfet001lrs7gjvaw55dc,catalogue,title,0.9611
59,cmu6rkffl001mrs7g9z12ai9g,catalogue,title,0.9899
60,cmu6rkfgf001nrs7gh2ys8fbt,catalogue,title,0.9689
61,cmu6rkfh8001ors7g34a0arl7,catalogue,title,0.9045
62,cmu6rkfhz001prs7gzzadcmip,catalogue,title,0.9484
63,cmu6rkfiq001qrs7ghmkjsma3,catalogue,title,0.9489
64,cmu6rkfji001rrs7gszwrit4z,catalogue,title,0.8827
65,cmu6rkfkb001srs7gu7lyhnp0,catalogue,title,0.9434
69,cmu6rkfob001xrs7g23fjpsib,catalogue,title,0.8707
70,cmu6rkfp5001yrs7gwp5fgzgx,catalogue,title,0.9646
71,cmu6rkfpz001zrs7gtsouw0e6,catalogue,title,0.9734
72,cmu6rkfqq0020rs7g5jqb1lcq,catalogue,title,0.9568
73,cmu6rkfri0021rs7g3grn06qw,catalogue,title,0.9318
74,cmu6rkfsb0022rs7g39q4fvoy,catalogue,title,0.9793
75,cmu6rkft30023rs7g4akh8db6,catalogue,title,0.9884
76,cmu6rkftv0024rs7grxbv96z4,catalogue,title,0.9677
77,cmu6rkfun0025rs7gxo05c2vr,catalogue,title,0.9722
78,cmu6rkfve0026rs7gax1qciox,catalogue,title,0.9425
79,cmu6rkfw80027rs7g2chw368r,catalogue,title,0.9489
80,cmu6rkfx10028rs7gkjo6sdn8,catalogue,title,0.8724
81,cmu6rkfxu0029rs7g4ex00xpr,catalogue,title,0.9636
