system,book,family,source,model,device,workers,working_width,pages,seconds
ocr,1,A,amadis-de-gaule-1.zip,amadis-ft.mlmodel,gpu,16,2200,315,465.0
ocr,2,A,amadis-de-gaule-2.pdf,amadis-ft.mlmodel,gpu,16,2200,204,304.8
ocr,3,A,amadis-de-gaule-3.pdf,amadis-ft.mlmodel,gpu,16,2200,198,285.9
ocr,4,A,amadis-de-gaule-4.pdf,amadis-ft.mlmodel,gpu,16,2200,246,324.4
ocr,5,A,amadis-de-gaule-5.pdf,amadis-ft.mlmodel,gpu,16,2200,250,339.9
ocr,6,A,amadis-de-gaule-6.pdf,amadis-ft.mlmodel,gpu,16,2200,279,385.1
ocr,7,A,amadis-de-gaule-7.pdf,amadis-ft.mlmodel,gpu,16,2200,265,385.6
ocr,8,A,amadis-de-gaule-8.pdf,amadis-ft.mlmodel,gpu,16,2200,386,567.0
ocr,9,A,amadis-de-gaule-9.pdf,amadis-ft.mlmodel,gpu,16,2200,400,626.8
ocr,10,A,amadis-de-gaule-10.pdf,amadis-ft.mlmodel,gpu,16,2200,280,567.8
ocr,11,A,amadis-de-gaule-11.pdf,amadis-ft.mlmodel,gpu,16,2200,330,470.0
ocr,12,A,amadis-de-gaule-12.pdf,amadis-ft.mlmodel,gpu,16,2200,505,799.3
ocr,13,B,amadis-de-gaule-13.pdf,amadis-ft.mlmodel,gpu,16,2200,748,968.6
ocr,14,B,amadis-de-gaule-14.pdf,amadis-ft.mlmodel,gpu,16,2200,756,1043.6
ocr,15,B,amadis-de-gaule-15.pdf,amadis-ft.mlmodel,gpu,16,2200,588,801.9
ocr,16,B,amadis-de-gaule-16.pdf,amadis-ft.mlmodel,gpu,16,2200,558,797.0
ocr,17,B,amadis-de-gaule-17.pdf,amadis-ft.mlmodel,gpu,16,2200,926,1338.7
ocr,18,B,amadis-de-gaule-18.pdf,amadis-ft.mlmodel,gpu,16,2200,1039,1733.6
ocr,19,B,amadis-de-gaule-19.pdf,amadis-ft.mlmodel,gpu,16,2200,980,1413.5
ocr,20,B,amadis-de-gaule-20.pdf,amadis-ft.mlmodel,gpu,16,2200,1110,1554.6
ocr,21,B,amadis-de-gaule-21.pdf,amadis-ft.mlmodel,gpu,16,2200,972,1316.4
ocr,22,B,amadis-de-gaule-22.pdf,amadis-ft.mlmodel,gpu,16,2200,914,1290.8
ocr,23,B,amadis-de-gaule-23.pdf,amadis-ft.mlmodel,gpu,16,2200,962,1331.0
ocr,24,B,amadis-de-gaule-24.pdf,amadis-ft.mlmodel,gpu,16,2200,900,1218.4
